fincode,rv_sect_name,compname,classification
122074,Capital Goods,Elgi Equipments Ltd.,S
122113,Automobile and Ancillaries,Timken India Ltd.,M
122205,Capital Goods,Praj Industries Ltd.,S
122215,Capital Goods,HLE Glascoat Ltd.,S
122287,Infrastructure,Kalpataru Projects International Ltd.,S
123025,FMCG,Safari Industries (India) Ltd.,S
123261,FMCG,Venky'S (India) Ltd.,S
123301,FMCG,TCPL Packaging Ltd.,S
123319,Diversified,Balmer Lawrie & Company Ltd.,S
123367,Diversified,DCM Shriram Ltd.,S
123395,Diversified,3M India Ltd.,M
123596,Infrastructure,Ircon International Ltd.,S
123598,Logistics,Shipping Corporation Of India Ltd.,S
123610,Media and Communications,ITI Ltd.,S
123630,Chemicals,National Fertilizers Ltd.,S
123694,Automobile and Ancillaries,Apcotex Industries Ltd.,S
123704,Technology,Mastek Ltd.,S
124000,Financials,Poonawalla Fincorp Ltd.,M
124051,Consumer Durables,Polyplex Corporation Ltd.,S
124091,FMCG,Carysil Ltd.,S
124164,Healthcare,IOL Chemicals And Pharmaceuticals Ltd.,S
124208,Chemicals,Aarti Industries Ltd.,S
124226,FMCG,Gujarat Ambuja Exports Ltd.,S
124230,Chemicals,Rashtriya Chemicals and Fertilizers Ltd.,S
124348,Healthcare,Aarti Drugs Ltd.,S
124372,Healthcare,Orchid Pharma Ltd.,S
124404,Healthcare,Marksans Pharma Ltd.,S
124470,Healthcare,Syncom Formulations (India) Ltd.,S
124520,Healthcare,KMC Speciality Hospitals (India) Ltd.,S
124558,Healthcare,Neuland Laboratories Ltd.,S
124735,Healthcare,Hikal Ltd.,S
124804,Healthcare,Aurobindo Pharma Ltd.,M
126247,Chemicals,Premier Explosives Ltd.,S
126299,Technology,Mphasis Ltd.,M
126367,Construction,Ganesh Housing Corporation Ltd.,S
126829,Energy,Confidence Petroleum India Ltd.,S
126951,Construction,Stylam Industries Ltd.,S
130001,Chemicals,Gujarat Alkalies And Chemicals Ltd.,S
130005,Construction,The India Cements Ltd.,S
130007,Automobile and Ancillaries,JK Tyre & Industries Ltd.,S
130019,Healthcare,Jubilant Pharmova Ltd.,S
130117,Chemicals,Privi Speciality Chemicals Ltd.,S
130135,Miscellaneous,Optiemus Infracom Ltd.,S
130199,Healthcare,Themis Medicare Ltd.,S
130239,Healthcare,Suven Life Sciences Ltd.,S
130343,Capital Goods,Genus Power Infrastructures Ltd.,S
130367,Automobile and Ancillaries,NRB Bearings Ltd.,S
130517,FMCG,Relaxo Footwears Ltd.,M
130549,Healthcare,Shilpa Medicare Ltd.,S
130813,FMCG,KRBL Ltd.,S
130999,Chemicals,Balaji Amines Ltd.,S
131146,Healthcare,Medicamen Biotech Ltd.,S
131147,Automobile and Ancillaries,Alicon Castalloy Ltd.,S
131209,Technology,Nucleus Software Exports Ltd.,S
131335,FMCG,Zydus Wellness Ltd.,S
131344,Logistics,Container Corporation Of India Ltd.,M
131358,Financials,Choice International Ltd.,S
131426,FMCG,Tamil Nadu Newsprint & Papers Ltd.,S
131500,Retail and Other Services,Rajesh Exports Ltd.,S
131508,Automobile and Ancillaries,Eveready Industries India Ltd.,S
131531,FMCG,Hatsun Agro Product Ltd.,M
131543,Textile,Jindal Worldwide Ltd.,S
131548,Construction,Somany Ceramics Ltd.,S
131595,Financials,Capri Global Capital Ltd.,S
131761,Consumer Durables,Apollo Pipes Ltd.,S
131768,Healthcare,Poly Medicure Ltd.,S
132144,Metals,Welspun Corp Ltd.,S
132149,Financials,Bank Of India,M
132150,Healthcare,Indraprastha Medical Corporation Ltd.,S
132155,Energy,GAIL (India) Ltd.,L
132156,Retail and Other Services,Vaibhav Global Ltd.,S
132162,FMCG,JK Paper Ltd.,S
132163,Media and Communications,Saregama India Ltd.,S
132174,Financials,ICICI Bank Ltd.,L
132175,Technology,Cyient Ltd.,S
132181,Energy,Gujarat Mineral Development Corporation Ltd.,S
132209,Financials,The Jammu & Kashmir Bank Ltd.,S
132221,Technology,Sonata Software Ltd.,S
132234,Metals,National Aluminium Company Ltd.,S
132259,Capital Goods,Apar Industries Ltd.,S
132268,Technology,Accelya Solutions India Ltd.,S
132296,Healthcare,Glenmark Pharmaceuticals Ltd.,M
132300,Healthcare,Wockhardt Ltd.,S
132301,FMCG,Tata Coffee Ltd.,S
132321,Healthcare,Zydus Lifesciences Ltd.,M
132331,Healthcare,Ajanta Pharma Ltd.,M
132345,Logistics,Allcargo Gati Ltd.,S
132348,Technology,Subex Ltd.,S
132356,FMCG,Triveni Engineering & Industries Ltd.,S
132368,Technology,Brightcom Group Ltd.,S
132371,Media and Communications,Tata Teleservices (Maharashtra) Ltd.,S
132374,Capital Goods,Sterlite Technologies Ltd.,S
132375,Media and Communications,Tips Industries Ltd.,S
132388,Financials,Indian Overseas Bank,L
132424,FMCG,Godrej Consumer Products Ltd.,L
132432,FMCG,United Spirits Ltd.,L
132439,Automobile and Ancillaries,Olectra Greentech Ltd.,S
132440,Media and Communications,MPS Ltd.,S
132443,Construction,Cera Sanitaryware Ltd.,S
132461,Financials,Punjab National Bank,L
132466,Technology,Oracle Financial Services Software Ltd.,M
132477,Financials,Union Bank Of India,L
132478,FMCG,United Breweries Ltd.,M
132482,Healthcare,Granules India Ltd.,S
132483,Financials,Canara Bank,L
132493,Capital Goods,Astra Microwave Products Ltd.,S
132497,FMCG,Radico Khaitan Ltd.,S
132500,Automobile and Ancillaries,Maruti Suzuki India Ltd.,L
