SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
533166,SUNDARAM,SUNDARAM MULTI PAP LTD.,Sundaram Multi Pap Ltd.
533167,COROENGG,COROMANDEL ENGINEERING COMPANY LTD.,Coromandel Engineering Company Limited
533168,ROSSELLIND,ROSSELL INDIA LTD.,Rossell India Limited
533169,MANINFRA,MAN INFRACONSTRUCTION LTD.,MAN INFRACONSTRUCTION LIMITED
533170,TAMBOLIIN,Tamboli Industries Ltd,TAMBOLI INDUSTRIES LIMITED
533177,IL&FSTRANS,IL&FS Transportation Networks Ltd,IL&FS Transportation Networks Limited
533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,Persistent Systems Limited
533181,ISFT,INTRASOFT TECHNOLOGIES LTD.,Intrasoft Technologies Limited
533189,GOENKA,GOENKA DIAMOND & JEWELS LTD.,Goenka Diamond & Jewels Ltd
533192,KCPSUGIND,KCP SUGAR & INDUSTRIES CORPORATION LTD.,K C P SUGAR AND INDUSTRIES CORPORATION LTD.
