MF Code,fund_house,s_name1,s_name,rupeevest_rating,rank_3year,ytd_returns,returns_1month,returns_6month,returns_3month,returns_1year,returns_3year,returns_5year,aumtotal,expenceratio,schemecode
SBI Liquid Fund-Reg(G),Mahindra Manulife Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,3,6.1,0.58,3.56,1.76,7.38,6.21,5.3,1016.37,0.27,35846
SBI Liquid Fund-Reg(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,6.13,0.58,3.54,1.76,7.41,6.22,5.3,25268.68,0.24,8029
SBI Liquid Fund-Reg(G),Franklin Templeton Mutual Fund,Franklin India Liquid Fund-Super Inst(G),Franklin India Liquid Fund-Super Inst(G),4,10,6.13,0.58,3.57,1.77,7.4,6.18,5.29,2141.59,0.2,3406
Nippon India Small Cap Fund(G),Nippon India Mutual Fund,Nippon India Small Cap Fund(G),Nippon India Small Cap Fund(G),4,1,25.89,-5.24,12.64,-3.36,43.54,28.95,35.31,62259.55,1.42,12758
Nippon India Small Cap Fund(G),Quant Mutual Fund,Quant Small Cap Fund(G),Quant Small Cap Fund(G),5,2,26.17,-6.83,4.94,-4.11,49.31,26.8,45.68,26644.74,1.59,876
Nippon India Small Cap Fund(G),Bank of India Mutual Fund,Bank of India Small Cap Fund-Reg(G),Bank of India Small Cap Fund-Reg(G),5,9,28.34,-5.72,14.53,-0.92,40.5,23.62,35.59,1516.96,2.01,41323
Nippon India Small Cap Fund(G),Canara Robeco Mutual Fund,Canara Rob Small Cap Fund-Reg(G),Canara Rob Small Cap Fund-Reg(G),4,12,22.78,-5.37,14.01,-1.68,37.16,21.6,33.5,12590.85,1.67,42350
Nippon India Small Cap Fund(G),Tata Mutual Fund,Tata Small Cap Fund-Reg(G),Tata Small Cap Fund-Reg(G),3,4,33.84,-3.87,17.6,2.39,46.02,25.58,32.69,9319.04,1.68,35242
ICICI Pru Balanced Advantage Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Balanced Advantage Fund(G),ICICI Pru Balanced Advantage Fund(G),3,6,12.97,-3.06,7.09,0.53,21.26,12.34,13.31,62050.92,1.45,1470
ICICI Pru Balanced Advantage Fund(G),HDFC Mutual Fund,HDFC Balanced Advantage Fund(G),HDFC Balanced Advantage Fund(G),4,1,17.43,-2.78,7.72,-1.26,33.17,21.45,20.61,96535.51,1.35,1273
