Stock Number,Stock Name
100245,Kirloskar Ferrous Industries Limited
210729,Sis Limited
211969,Sheela Foam Limited
209220,Sharda Motor Industries Limited
274083,Landmark Cars Limited
293601,Archean Chemical Industries Limited
132612,Indoco Remedies Limited
132374,Sterlite Technologies Limited
314935,Premier Energies Limited
130007,Jk Tyre & Industries Limited
273033,Equitas Small Finance Bank Limited
209063,Cyient Dlm Limited
311991,Bajel Projects Limited
119600,Ccl Products (India) Limited
100380,Jk Lakshmi Cement Limited
209914,Apeejay Surrendra Park Hotels Limited
210258,Icici Prudential Life Insurance Company Limited
132486,Pokarna Limited
124051,Polyplex Corporation Limited
117168,Subros Limited
302988,Fsn E-Commerce Ventures Limited
132356,Triveni Engineering & Industries Limited
256461,Divgi Torqtransfer Systems Limited
105714,Gabriel India Limited
123395,3M India Limited
208745,Mishra Dhatu Nigam Limited
221217,Wonderla Holidays Limited
228460,Bajaj Housing Finance Limited
212609,Astec Lifesciences Limited
223679,Rishabh Instruments Limited
105533,Westlife Foodworld Limited
232356,Aeroflex Industries Limited
314345,Ceigall India Limited
311640,R K Swamy Limited
209099,Rolex Rings Limited
207933,Capital Small Finance Bank Limited
312314,Azad Engineering Limited
310018,Netweb Technologies India Limited
311741,Jnk India Limited
215367,Jubilant Foodworks Limited
221669,Credo Brands Marketing Limited
314700,P N Gadgil Jewellers Limited
223112,Tatva Chintan Pharma Chem Limited
310935,Western Carriers India Limited
314769,Ecos India Mobility And Hospitality Limited
209902,Angel One Limited
210284,Indegene Limited
316317,Tata Consumer Products Limited- Right Share
222055,Interglobe Aviation Limited
223595,Avenue Supermarts Limited
132827,Page Industries Limited
100233,Kajaria Ceramics Limited
105200,Eicher Motors Limited
208433,Inox India Limited
100260,The Ramco Cements Limited
277614,Jupiter Life Line Hospitals Limited
274038,India Shelter Finance Corporation Limited
100112,State Bank Of India
117334,Motherson Sumi Systems Limited
252306,Zomato Limited
126299,Mphasis Limited
305013,Motherson Sumi Wiring India Limited
216156,Larsen & Toubro Infotech Limited
225051,Sbi Cards & Payment Services Limited
100575,Voltas Limited
100850,The Indian Hotels Company Limited
302988,Fsn E-Commerce Ventures Limited
228974,Iifl Wealth Management Limited
209902,Angel One Limited
100027,Atul Limited
211337,Polycab India Limited
132777,Info Edge (India) Limited
124494,Ipca Laboratories Limited
209024,Rr Kabel Limited
216065,Jyoti Cnc Automation Limited
111243,Cholamandalam Investment And Finance Company Limited
234556,Cms Info Systems Limited
229238,Affle India Pvt. Limited
103100,The Phoenix Mills Limited
232353,Rhi Magnesita India Limited
131344,Container Corporation Of India Limited
209979,Aditya Birla Sun Life Amc Limited
249927,Gujarat Gas Limited
229414,Nazara Technologies Limited
132644,Jk Cement Limited
215367,Jubilant Foodworks Limited
100477,Ashok Leyland Limited
132174,Icici Bank Limited
100180,Hdfc Bank Limited
132286,Jindal Steel & Power Limited
132215,Axis Bank Limited
100112,State Bank Of India.
100325,Reliance Industries Limited
132454,Bharti Airtel Limited
252306,Zomato Limited
222055,Inter Globe Aviation Limited
100411,Thermax Limited
132725,Solar Industries India Limited
100493,Bharat Forge Limited
286335,Au Small Finance Bank Limited
132714,Kec International Limited
100547,Bharat Petroleum Corporation  Limited
100260,The Ramco Cements Limited
100247,Kotak Mahindra Bank Limited
102355,Balkrishna Industries Limited
130965,Indian Oil Corporation Limited
100425,Ambuja Cements Limited
132683,Aia Engineering Limited
117334,Samvardhana Motherson International Limited
100271,Max Financial Services Limited
207901,Bse Limited
228974,360 One Wam Limited
190032,Zen Technologies Limited
111218,Shriram Finance Limited
106285,Bayer Crop Science Limited
100660,Glaxosmithkline Pharma Limited
304102,Bharti Airtel Limited
314935,Premier Energies Limited
100114,Titan Company Limited
100570,Tata Motors Limited
132555,National Thermal Power Corporation Limited
100400,Tata Power Company Limited
112599,Adani Enterprises Limited
100034,Bajaj Finance Limited
100312,Oil And Natural Gas Corporation Limited
216156,Larsen & Toubro Infotech Limited
132187,Indusind Bank Limited
100800,Tata Consumer Products Limited
132822,Vodafone Idea Limited
100124,Dr.Reddy'S  Laboratories Limited
132134,Bank Of Baroda
211385,Sbi Life Insurance Company Limited
200055,Rural Electrification Corporation Limited
111243,Cholamandalam Investment And Finance Company Limited
210072,Dixon Technologies India Limited
112070,Upl Limited
100830,Colgate- Palmolive (India) Limited
132921,Adani Ports And Special Economic Zone Limited
132754,Gmr Airports Nfrastructure Limited
126371,Nmdc Limited
100002,Abb India Limited
225051,Sbi Cards & Payment Services Pvt. Limited
211337,Polycab India Limited
132827,Page Industries Limited
221790,Muthoot Finance Limited
100113,Steel Authority Of India Limited
131642,Marico Limited
217389,Hdfc Life Insurance Company Limited
100483,Tata Communications Limited
279527,Bandhan Bank Limited
100104,Hindustan Petroleum Corporation Limited
224623,Indian Energy Exchange Limited
100253,Lic Housing Finance Limited
100820,Asian Paints(India) Limited
132777,Info Edge India Limited
132296,Glenmark Pharmaceuticals Limited
210591,Aditya Birla Fashion And Retail Limited
100302,Piramal Enterprises Limited
106401,Deepak Nitrite Limited
210258,Icici Prudential Life Insurance Co. Limited
132432,United Spirits Limited
220018,Oberoi Realty Limited
208238,Godrej Properties Limited
271867,Laurus Labs Limited
132504,Navin Fluorine International Limited
113599,Hindustan Copper Limited
209068,Rbl Bank Limited
132483,Canara Bank
132234,National Aluminium Company Limited
109480,Berger Paints India Limited
217379,Icici Lombard General Insurance Company Limited
100495,Escorts Limited
293380,Dalmia Bharat Limited
132466,Oracle Financial Services Software Limited
132400,Birlasoft Limited
132461,Punjab National Bank
123642,P I Industries Limited
131213,Manappuram Finance Limited
124715,Sun Pharmaceutical Industries Limited
132482,Granules India Limited
290269,Indiamart Intermesh Limited
208412,Indian Railway Catering And Tourism Corporation Lt
100488,Abbott India Limited
100085,Chambal Fertilisers & Chemicals Limited
132830,Astral Limited
100251,Trent Limited
100420,Torrent Pharmaceuticals Limited
100670,Gujarat Narmada Valley Fertilisers Company Limited
220350,L&T Finance Holdings Limited
242461,Aditya Birla Capital Limited
100043,Bata India Limited
100038,Balrampur Chini Mills Limited
126299,Mphasis Limited
218763,Dr.Lal Pathlabs Limited
249927,Gujarat Gas Limited
208661,Mahanagar Gas Limited
132733,Sun Tv Network Limited
132689,Pvr Limited
209425,Tcns Clothing Co. Limited
100469,Federal Bank Limited
111196,Can Fin Homes Limited
278580,Idfc First Bank Limited
214179,Sona Blw Precision Forgings Limited
211840,Mankind Pharma Limited
269404,Tube Investments Of India Limited
132843,Fortis Healthcare India Limited
109930,Supreme Industries Limited
105790,Schaeffler India Limited
100067,Blue Star Limited
207872,Bharti Hexacom Limited
100233,Kajaria Ceramics Limited
200091,Oil India Limited
208727,Metro Brands Limited
120111,Ratnamani Metals & Tubes Limited
190059,Apl Apollo Tubes Limited
279664,Global Health Limited
303180,Prudent Corporate Advisory Services Limited
200054,V-Guard Industries Limited
225154,Amber Enterprises India Limited
106943,Jb Chemicals & Pharmaceuticals Limited
132539,Minda Industries Limited
100403,Sundaram Fasteners Limited
200515,Zf Commercial Vehicle Control Systems India Limited
100472,Skf India Limited
220869,Techno Electric & Engineering Company Limited
132259,Apar Industries Limited
122287,Kalpataru Projects International Limited
117174,Honeywell Automation India Limited
