Stock Number,Stock Name
216156,Larsen & Toubro Infotech Ltd.
229238,Affle India Pvt. Ltd.
234556,CMS Info Systems Ltd
200046,KNR Constructions Ltd.
229365,Jio Financial Services Ltd
190071,Sundaram Finance Ltd.
103100,The Phoenix Mills Ltd.
112573,Avanti Feeds Ltd.
215367,Jubilant Foodworks Ltd.
100294,NCC Ltd.
132644,JK Cement Ltd.
249927,Gujarat Gas Ltd.
132777,Info Edge (India) Ltd.
132134,Bank Of Baroda
132689,PVR Ltd.
100483,Tata Communications Ltd.
200091,Oil India Ltd.
100180,EQ - HDFC BANK LIMITED
100325,EQ - RELIANCE INDUSTRIES LTD.
132174,EQ - ICICI BANK LTD
100209,EQ - INFOSYS LTD.
100510,EQ - LARSEN & TOUBRO LTD.
100875,EQ - ITC LTD.
132540,EQ - TATA CONSULTANCY SERVICES LTD.
132215,EQ - AXIS BANK LTD.
100247,EQ - KOTAK MAHINDRA BANK LTD.
132454,EQ - BHARTI AIRTEL LTD.
100112,EQ - STATE BANK OF INDIA
100696,EQ - HINDUSTAN UNILEVER LTD
100034,EQ - BAJAJ FINANCE LTD.
132281,EQ - HCL TECHNOLOGIES LTD.
100520,EQ - MAHINDRA & MAHINDRA LTD.
100820,EQ - ASIAN PAINTS (INDIA) LTD.
100114,EQ - TITAN COMPANY LTD.
132555,EQ - NTPC LTD.
100570,EQ - TATA MOTORS LTD.
132500,EQ - MARUTI SUZUKI INDIA LTD.
124715,EQ - SUN PHARMACEUTICALS INDUSTRIES
132538,EQ - ULTRATECH CEMENT LTD.
100470,EQ - TATA STEEL LTD.
132898,EQ - POWER GRID CORPORATION OF INDI
132187,EQ - INDUSIND BANK
100790,EQ - NESTLE INDIA LTD.
205198,EQ - BAJAJ FINSERV LTD.
100440,EQ - HINDALCO INDUSTRIES LTD.
219300,EQ - COAL INDIA LTD.
100228,EQ - JSW STEEL LTD.
100312,EQ - OIL & NATURAL GAS CORPORATION
132755,EQ - TECH MAHINDRA LTD.
100300,EQ - GRASIM INDUSTRIES LTD.
200132,EQ - BAJAJ AUTO LTD.
132921,EQ - ADANI PORTS AND SPECIAL ECONO
112599,EQ - ADANI ENTERPRISES LTD.
100124,EQ - DR REDDYS LABORATORIES LTD.
217389,EQ - HDFC LIFE INSURANCE COMPANY LI
107685,EQ - WIPRO LIMITED
100800,EQ - TATA CONSUMER PRODUCTS LTD
100087,EQ - CIPLA LTD.
211385,EQ - SBI LIFE INSURANCE COMPANY LTD
100825,EQ - BRITANNIA INDUSTRIES LTD.
216156,EQ - LTIMindtree Limited
108869,EQ - APOLLO HOSPITALS ENTERPRISE LT
105200,EQ - EICHER MOTORS LTD
100182,EQ - HERO MOTOCORP LTD.
132488,EQ - DIVIS LABORATORIES LTD.
100547,EQ - BHARAT PETROLEUM CORPN LTD.
112070,EQ - UPL LTD.
100182,Hero Motocorp Ltd.
132868,DLF Ltd.
217889,Tata Motors Ltd. - DVR
208280,HDFC Asset Management Company Ltd.
132432,United Spirits Ltd.
219494,Hindustan Aeronautics Ltd.
100251,Trent Ltd.
132321,Zydus Lifesciences Ltd.
212427,Alkem Laboratories Ltd.
123405,Jm Financial Ltd.
209373,Syngene International Ltd.
107815,Gillette India Ltd.
100335,Birla Corporation Ltd.
100660,Glaxosmithkline Pharmaceuticals Ltd.
250896,Wells Fargo & Co
219464,Cognizant Tech Solutions
213838,Prestige Estates Projects Ltd.
100530,Bosch Limited
303107,SAPPHIRE FOODS INDIA LIMITED
214437,Varroc Engineering Limited
307332,PIRAMAL PHARMA LTD
289108,Delhivery Limited
269404,Tube Investments of India Limited
132757,Voltamp Transformers Limited
190003,Karur Vysya Bank Limited
100103,Bharat Heavy Electricals Limited
294320,KPIT Technologies Limited
224880,NIIT Learning Systems Limited
100123,Elantas Beck India Limited
200007,Jyothy Labs Limited
132175,Cyient Limited
222055,InterGlobe Aviation Limited
221842,CreditAccess Grameen Limited
210859,Tejas Networks Limited
303157,Rategain Travel Technologies Limited
200017,eClerx Services Limited
106820,AstraZeneca Pharma India Limited
221809,Inox Wind Limited
100680,Pfizer Limited
100335,Birla Corporation Limited
100241,Kirloskar Brothers Limited
113683,NLC India Limited
122113,Timken India Limited
132630,Gokaldas Exports Limited
132497,Radico Khaitan Limited
100038,Balrampur Chini Mills Limited
113375,Carborundum Universal Limited
100214,ION Exchange (India) Limited
131335,Zydus Wellness Limited
288451,Fine Organic Industries Limited
100877,Apollo Tyres Limited
273557,Fusion Micro Finance Limited
223658,TD Power Systems Limited
130343,Genus Power Infrastructures Limited
100126,Procter & Gamble Health Limited
132889,K.P.R. Mill Limited
132756,CIE Automotive India Limited
100144,Finolex Cables Limited
102986,Vardhman Textiles Limited
235355,Gland Pharma Limited
210072,Dixon Technologies (India) Limited
229238,Affle (India) Limited
100031,Bajaj Electricals Limited
106285,Bayer Cropscience Limited
106076,Grindwell Norton Limited
100040,Century Textiles & Industries Limited
200025,ISGEC Heavy Engineering Limited
123457,Linde India Limited
105283,Kirloskar Pneumatic Company Limited
122287,Kalpataru Projects International Limited
122205,Praj Industries Limited
303107,Sapphire Foods India Limited
282626,H.G. Infra Engineering Limited
132689,PVR INOX Limited
100444,West Coast Paper Mills Limited
222961,Kirloskar Oil Engines Limited
222822,Texmaco Rail & Engineering Limited
117015,Vindhya Telelinks Limited
132400,Birlasoft Limited
241214,Paradeep Phosphates Limited
104067,Zensar Technologies Limited
120057,Jtekt India Limited
106401,Deepak Nitrite Limited
100067,Blue Star Limited
235668,eMudhra Limited
100575,Voltas Limited
122064,Honda India Power Products Limited
221645,Krishna Institute Of Medical Sciences Limited
288401,Orient Electric Limited
305799,KFin Technologies Limited
307061,Avalon Technologies Limited
131162,Emami Limited
100850,The Indian Hotels Company Limited
126612,Blue Dart Express Limited
100470,Tata Steel Limited
108869,Apollo Hospitals Enterprise Limited
209068,RBL Bank Limited
210591,Aditya Birla Fashion and Retail Limited
100674,Sanofi India Limited
213429,Lemon Tree Hotels Limited
131266,V.S.T Tillers Tractors Limited
100330,Raymond Limited
100133,Esab India Limited
224898,Sundaram Finance Holdings Limited
131599,FDC Limited
235506,Metropolis Healthcare Limited
208763,MTAR Technologies Limited
305179,Harsha Engineers International Limited
227347,CARE Ratings Limited
242477,Orient Cement Limited
209902,Angel One Limited
100085,Chambal Fertilizers & Chemicals Limited
106943,JB Chemicals & Pharmaceuticals Limited
100870,Castrol India Limited
200020,Brigade Enterprises Limited
220519,Bajaj Consumer Care Limited
105010,Automotive Axles Limited
252306,Zomato Limited
100425,Ambuja Cements Limited
200094,PNC Infratech Limited
217757,PNB Housing Finance Limited
124715,Sun Pharmaceutical Industries Limited
251940,G R Infraprojects Limited
232353,RHI Magnesita India Limited
210729,SIS Limited
100304,NIIT Limited
213133,Fineotex Chemical Limited
115030,Asahi India Glass Limited
211969,Sheela Foam Limited
132493,Astra Microwave Products Limited
211531,Just Dial Limited
100355,Rallis India Limited
208414,Indian Renewable Energy Development Agency Limited
274083,Landmark Cars Limited
111196,Can Fin Homes Limited
217842,Godrej Agrovet Limited
111218,Shriram Finance Limited
130007,JK Tyre & Industries Limited
209165,Sandhar Technologies Limited
272156,Greenlam Industries Limited
132221,Sonata Software Limited
273033,Equitas Small Finance Bank Limited
100250,LG Balakrishnan & Bros Limited
132714,KEC International Limited
100252,Lakshmi Machine Works Limited
106222,Styrenix Performance Materials Limited
218764,Thyrocare Technologies Limited
256461,Divgi Torqtransfer Systems Limited
117506,TTK Prestige Limited
126807,Seamec Limited
223187,Kaynes Technology India Limited
117174,Honeywell Automation India Limited
120113,Vesuvius India Limited
132612,Indoco Remedies Limited
100380,JK Lakshmi Cement Limited
132827,Page Industries Limited
222264,PG Electroplast Limited
100245,Kirloskar Ferrous Industries Limited
222554,Data Patterns (India) Limited
132356,Triveni Engineering & Industries Limited
274045,Rainbow Childrens Medicare Limited
229414,Nazara Technologies Limited
295872,Gujarat Fluorochemicals Limited
311742,Doms Industries Limited
124208,Aarti Industries Limited
304683,Venus Pipes And Tubes Limited
293601,Archean Chemical Industries Limited
208190,Galaxy Surfactants Limited
223112,Tatva Chintan Pharma Chem Limited
223679,Rishabh Instruments Ltd
296765,Hitachi Energy India Limited
